164 : 43521 | Magnitude: 24810.904296875 | Phase_angle: 155.44111728207002
165 : 43521 | Magnitude: 24875.173828125 | Phase_angle: 155.71828635858915
166 : 43521 | Magnitude: 24739.642578125 | Phase_angle: 156.39459802982546
167 : 43521 | Magnitude: 24735.90625 | Phase_angle: 157.8155096036199
168 : 43521 | Magnitude: 24737.505859375 | Phase_angle: 159.4140470769697
169 : 43521 | Magnitude: 24737.408203125 | Phase_angle: 159.65470196218592
170 : 43521 | Magnitude: 24737.572265625 | Phase_angle: 161.52826383265543
171 : 43521 | Magnitude: 24737.5390625 | Phase_angle: 162.62833410037769
172 : 43521 | Magnitude: 24755.779296875 | Phase_angle: 165.6249156741807
173 : 43521 | Magnitude: 24754.138671875 | Phase_angle: 166.17526499674364
174 : 43521 | Magnitude: 24768.5 | Phase_angle: 167.5671482665655
175 : 43521 | Magnitude: 24765.1171875 | Phase_angle: 168.40950183652487
176 : 43521 | Magnitude: 24765.458984375 | Phase_angle: 168.7303977841104
177 : 43521 | Magnitude: 24761.8671875 | Phase_angle: 168.93091847776364
178 : 43521 | Magnitude: 24758.20703125 | Phase_angle: 168.19739714203928
179 : 43521 | Magnitude: 24746.939453125 | Phase_angle: 171.27533992923549
180 : 43521 | Magnitude: 24781.607421875 | Phase_angle: 170.76441445856184
181 : 43521 | Magnitude: 24756.01953125 | Phase_angle: 172.1107950081331
182 : 43521 | Magnitude: 24737.47265625 | Phase_angle: 173.4514928403149
183 : 43521 | Magnitude: 24728.3515625 | Phase_angle: 177.6799263516864
184 : 43521 | Magnitude: 24728.220703125 | Phase_angle: 179.2326742368404
185 : 43521 | Magnitude: 24726.818359375 | Phase_angle: 179.7655246147498
186 : 43521 | Magnitude: 24723.826171875 | Phase_angle: 179.46756444239716
187 : 43521 | Magnitude: 24728.419921875 | Phase_angle: -178.59668800246385
188 : 43521 | Magnitude: 24691.912109375 | Phase_angle: -175.39923056517077
189 : 43521 | Magnitude: 24682.646484375 | Phase_angle: -174.39054822854328
190 : 43521 | Magnitude: 24636.984375 | Phase_angle: -174.11369334072597
191 : 43521 | Magnitude: 24573.130859375 | Phase_angle: -173.82920230141661
192 : 43521 | Magnitude: 24700.91796875 | Phase_angle: -172.0763845150946
193 : 43521 | Magnitude: 24703.51953125 | Phase_angle: -171.0107793819242
194 : 43521 | Magnitude: 24673.451171875 | Phase_angle: -169.73808291311906
195 : 43521 | Magnitude: 24710.185546875 | Phase_angle: -167.76206820509935
196 : 43521 | Magnitude: 24713.78125 | Phase_angle: -166.6334067655114
197 : 43521 | Magnitude: 24691.697265625 | Phase_angle: -165.85953267217064
198 : 43521 | Magnitude: 24719.193359375 | Phase_angle: -163.8659370572273
199 : 43521 | Magnitude: 24717.375 | Phase_angle: -163.29295248775495
200 : 43521 | Magnitude: 24719.228515625 | Phase_angle: -159.1333126417038
201 : 43521 | Magnitude: 24717.52734375 | Phase_angle: -158.62903977528177
202 : 43521 | Magnitude: 24714.349609375 | Phase_angle: -158.95561844025676
203 : 43521 | Magnitude: 24712.861328125 | Phase_angle: -154.8132726331841
204 : 43521 | Magnitude: 24725.962890625 | Phase_angle: -153.62808454802516
205 : 43521 | Magnitude: 24710.00390625 | Phase_angle: -151.4843067336116
206 : 43521 | Magnitude: 24708.435546875 | Phase_angle: -150.9345584676956
207 : 43521 | Magnitude: 24700.91796875 | Phase_angle: -149.3242320878384
208 : 43521 | Magnitude: 24700.91796875 | Phase_angle: -148.22418914087282
209 : 43521 | Magnitude: 24704.19140625 | Phase_angle: -147.14708196914015
210 : 43521 | Magnitude: 24699.24609375 | Phase_angle: -147.14700000687012
211 : 43521 | Magnitude: 24710.00390625 | Phase_angle: -140.73558339524917
212 : 43521 | Magnitude: 24739.419921875 | Phase_angle: -140.39680601241653
213 : 43521 | Magnitude: 24691.828125 | Phase_angle: -137.9035547389301
214 : 43521 | Magnitude: 24719.265625 | Phase_angle: -137.49841523812162
215 : 43521 | Magnitude: 24719.228515625 | Phase_angle: -136.10039845842508
216 : 43521 | Magnitude: 24719.193359375 | Phase_angle: -134.39839727952796
217 : 43521 | Magnitude: 24755.81640625 | Phase_angle: -131.02398330121815
218 : 43521 | Magnitude: 24755.71484375 | Phase_angle: -130.77184003781798
219 : 43521 | Magnitude: 24765.041015625 | Phase_angle: -126.96741100974253
220 : 43521 | Magnitude: 24737.572265625 | Phase_angle: -125.66079582151909
221 : 43521 | Magnitude: 24754.14453125 | Phase_angle: -125.15660491736709
222 : 43521 | Magnitude: 24703.689453125 | Phase_angle: -122.73172383747249
223 : 43521 | Magnitude: 24814.4375 | Phase_angle: -122.06042552508696
224 : 43521 | Magnitude: 24737.5390625 | Phase_angle: -121.05452990564083
225 : 43521 | Magnitude: 24737.57421875 | Phase_angle: -119.9773680923948
226 : 43521 | Magnitude: 24735.830078125 | Phase_angle: -119.44449039372874
227 : 43521 | Magnitude: 24763.22265625 | Phase_angle: -118.62540044808247
228 : 43521 | Magnitude: 24710.115234375 | Phase_angle: -116.90021760714231
229 : 43521 | Magnitude: 24737.427734375 | Phase_angle: -115.20459582492997
230 : 43521 | Magnitude: 24740.81640625 | Phase_angle: -114.11036536894808
231 : 43521 | Magnitude: 24682.57421875 | Phase_angle: -113.22666183375348
232 : 43521 | Magnitude: 24810.7421875 | Phase_angle: -111.82542120476869
233 : 43521 | Magnitude: 24741.041015625 | Phase_angle: -110.7057482941285
234 : 43521 | Magnitude: 24755.849609375 | Phase_angle: -110.4203761604162
235 : 43521 | Magnitude: 24755.8515625 | Phase_angle: -109.85871604458771
236 : 43521 | Magnitude: 24760.62890625 | Phase_angle: -109.0855318003531
237 : 43521 | Magnitude: 24755.96484375 | Phase_angle: -108.4379820557117
238 : 43521 | Magnitude: 24754.138671875 | Phase_angle: -107.94523171841946
239 : 43521 | Magnitude: 24704.63671875 | Phase_angle: -106.516765955403
240 : 43521 | Magnitude: 24662.828125 | Phase_angle: -105.3646633065836
241 : 43521 | Magnitude: 24737.408203125 | Phase_angle: -105.4242225561461
242 : 43521 | Magnitude: 24737.029296875 | Phase_angle: -105.2179303526442
243 : 43521 | Magnitude: 24737.685546875 | Phase_angle: -103.98035471655126
244 : 43521 | Magnitude: 24737.404296875 | Phase_angle: -102.12912756466768
245 : 43521 | Magnitude: 24756.076171875 | Phase_angle: -100.67440655448168
